aqiMajorPollutant,airQualityLevel,observationDateTime,deviceStatus,airQualityIndex,id,co.avgOverTime,pm10.avgOverTime,pm2p5.avgOverTime,so2.avgOverTime,airTemperature.avgOverTime,o3.avgOverTime,atmosphericPressure.avgOverTime,uv.avgOverTime,illuminance.avgOverTime,relativeHumidity.avgOverTime,co2.avgOverTime,ambientNoise.avgOverTime,no2.avgOverTime
PM2.5,VERY_POOR,2022-01-01 20:16:11+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,5.66,190.94,124.18,9.98,24.98,27.56,0.94,0.0,7.63,70.58,4.34,85.83,76.79
PM2.5,VERY_POOR,2022-01-01 20:16:12+05:30,ACTIVE,375,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,4.18,290.36,188.1,6.49,24.75,22.05,0.94,0.0,10.87,69.57,368.41,84.39,41.87
CO,MODERATE,2022-01-01 20:16:12+05:30,ACTIVE,108,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,7.48,70.87,32.8,8.42,24.9,53.61,0.94,0.0,14.66,66.14,165.68,60.12,43.05
NO2,SATISFACTORY,2022-01-01 20:16:12+05:30,ACTIVE,53,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,2.55,43.66,25.52,1.39,23.74,17.26,0.94,0.0,4.34,73.41,470.76,78.38,79.63
PM2.5,VERY_POOR,2022-01-01 20:16:14+05:30,ACTIVE,338,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,3.62,222.31,137.25,9.18,24.59,45.07,0.94,0.0,0.22,67.33,465.25,65.81,76.05
PM2.5,SATISFACTORY,2022-01-01 20:16:15+05:30,ACTIVE,77,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,3.08,64.43,35.79,2.71,25.0,0.12,0.94,0.0,2.61,67.78,271.53,81.78,68.23
NO2,SATISFACTORY,2022-01-01 20:16:15+05:30,ACTIVE,79,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,2.46,194.01,111.14,1.29,24.24,2.96,0.94,0.0,24.29,63.43,437.84,79.03,83.63
PM2.5,VERY_POOR,2022-01-01 20:16:15+05:30,ACTIVE,352,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,3.19,394.5,226.4,3.3,25.85,16.49,0.94,0.0,4.76,65.45,577.81,83.55,42.94
PM2.5,VERY_POOR,2022-01-01 20:16:20+05:30,ACTIVE,349,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,3.36,322.08,226.56,6.17,25.78,43.07,0.94,0.0,9.64,63.17,200.2,75.18,87.41
PM2.5,MODERATE,2022-01-01 20:16:22+05:30,ACTIVE,173,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,3.61,114.95,68.92,9.73,26.3,0.0,0.94,0.0,3.45,63.08,0.0,71.75,94.0
PM2.5,VERY_POOR,2022-01-01 20:31:09+05:30,ACTIVE,304,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,5.4,222.82,124.1,5.08,24.56,0.0,0.94,0.0,3.25,71.02,0.0,68.76,117.74
CO,SATISFACTORY,2022-01-01 20:31:09+05:30,ACTIVE,76,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,4.92,116.54,64.87,7.21,23.81,17.49,0.94,0.0,6.48,68.16,0.0,81.05,79.39
NO2,MODERATE,2022-01-01 20:31:11+05:30,ACTIVE,103,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,2.72,153.73,91.0,9.14,24.81,11.39,0.93,0.0,5.32,63.67,108.25,77.51,94.45
CO,MODERATE,2022-01-01 20:31:11+05:30,ACTIVE,107,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,6.83,122.7,60.55,12.18,25.02,2.02,0.94,0.0,5.23,67.88,544.14,80.71,91.66
PM2.5,VERY_POOR,2022-01-01 20:31:11+05:30,ACTIVE,360,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,3.55,212.49,136.65,4.68,25.54,0.0,0.94,0.0,1.93,65.0,336.17,75.57,87.91
PM2.5,POOR,2022-01-01 20:31:11+05:30,ACTIVE,243,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,3.75,91.19,56.0,0.26,24.07,1.97,0.94,0.0,4.21,70.02,0.22,62.83,140.87
PM2.5,VERY_POOR,2022-01-01 20:31:11+05:30,ACTIVE,360,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,3.55,212.49,136.65,4.68,25.54,0.0,0.94,0.0,1.93,65.0,336.17,75.57,87.91
PM2.5,VERY_POOR,2022-01-01 20:31:11+05:30,ACTIVE,310,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,1.05,149.86,104.49,1.18,22.63,13.12,0.94,0.0,1.41,74.23,534.78,76.3,62.59
CO,MODERATE,2022-01-01 20:31:12+05:30,ACTIVE,108,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,7.41,73.6,33.4,8.0,24.77,48.4,0.94,0.0,14.53,67.25,179.46,60.04,43.05
NO2,SATISFACTORY,2022-01-01 20:31:12+05:30,ACTIVE,53,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,2.95,41.19,25.08,1.76,23.35,16.63,0.94,0.0,4.73,74.95,486.03,77.81,83.89
PM2.5,VERY_POOR,2022-01-01 20:31:12+05:30,ACTIVE,375,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,4.68,301.94,192.06,7.35,24.54,20.06,0.94,0.0,10.33,70.75,370.34,83.84,43.15
PM2.5,VERY_POOR,2022-01-01 20:31:13+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,6.26,192.86,126.93,9.95,24.83,28.36,0.94,0.0,7.54,71.31,3.59,85.84,77.74
PM2.5,VERY_POOR,2022-01-01 20:31:13+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,6.26,192.86,126.93,9.95,24.83,28.36,0.94,0.0,7.54,71.31,3.59,85.84,77.74
PM2.5,VERY_POOR,2022-01-01 20:31:13+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,6.26,192.86,126.93,9.95,24.83,28.36,0.94,0.0,7.54,71.31,3.59,85.84,77.74
PM2.5,VERY_POOR,2022-01-01 20:31:13+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,6.26,192.86,126.93,9.95,24.83,28.36,0.94,0.0,7.54,71.31,3.59,85.84,77.74
PM2.5,VERY_POOR,2022-01-01 20:31:14+05:30,ACTIVE,338,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,3.71,212.41,129.57,9.15,24.43,47.17,0.94,0.0,0.23,68.19,469.14,65.46,72.82
PM2.5,VERY_POOR,2022-01-01 20:31:16+05:30,ACTIVE,352,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,3.9,415.88,234.16,4.3,25.68,14.97,0.94,0.0,4.71,66.58,599.1,81.78,45.44
