route_id,trip_delay,license_plate,last_stop_arrival_time,trip_id,observationDateTime,trip_direction,vehicle_label,id,last_stop_id,actual_trip_start_time,location/type,location/coordinates/0,location/coordinates/1,speed
136U,93,GJ05BX2125,10:26:13,17533510,2022-01-01T10:35:38+05:30,UP,A18,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1002,2022-01-01T10:25:27+05:30,Point,72.825662,21.180992,27
20D,167,GJ05BX2181,10:28:31,17529691,2022-01-01T10:35:30+05:30,DN,A26,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,10,2022-01-01T10:18:54+05:30,Point,72.835802,21.205946,10
21U,61,GJ05BX2258,10:34:19,17531145,2022-01-01T10:35:39+05:30,UP,A30,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2081,2022-01-01T09:53:36+05:30,Point,72.86896,21.190426,14
20U,309,GJ05BX2009,10:29:52,17529592,2022-01-01T10:34:51+05:30,UP,A11,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1003,2022-01-01T10:01:49+05:30,Point,72.831175,21.182906,22
136U,579,GJ05BX2164,10:32:14,17533508,2022-01-01T10:35:34+05:30,UP,A25,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4019,2022-01-01T10:03:51+05:30,Point,72.765303,21.155534,31
21U,466,GJ05BX2218,10:34:50,17531150,2022-01-01T10:35:30+05:30,UP,A27,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1003,2022-01-01T10:07:38+05:30,Point,72.844062,21.194679,13
21U,347,GJ05BX2259,10:30:33,17531110,2022-01-01T10:35:28+05:30,UP,A31,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2077,2022-01-01T10:01:51+05:30,Point,72.861567,21.191308,25
21U,178,GJ05BX2443,10:31:38,17531154,2022-01-01T10:35:39+05:30,UP,A47,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2010,2022-01-01T10:07:42+05:30,Point,72.79752,21.206789,8
20D,366,GJ05BX2465,,17529634,2022-01-01T10:35:58+05:30,DN,A48,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4041,2022-01-01T09:42:07+05:30,Point,72.855558,21.255297,0
126U,44,GJ05BX1679,10:29:59,17528724,2022-01-01T10:35:38+05:30,UP,C002,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,10,2022-01-01T10:29:14+05:30,Point,72.84013,21.20421,0
107U,1523,GJ05BX2045,09:58:24,17533082,2022-01-01T10:35:23+05:30,UP,C011,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2741,2022-01-01T09:41:37+05:30,Point,72.786191,21.194524,0
107U,102,GJ05BX2065,,17533092,2022-01-01T10:35:38+05:30,UP,C018,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,10,2022-01-01T10:32:18+05:30,Point,72.84013,21.20421,0
107D,246,GJ05BX2152,10:31:53,17533331,2022-01-01T10:35:28+05:30,DN,C030,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2744,2022-01-01T10:17:06+05:30,Point,72.782845,21.199781,18
216KD,65,GJ05BX3027,10:28:42,17531909,2022-01-01T10:35:33+05:30,DN,C086,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1105,2022-01-01T09:49:29+05:30,Point,72.816492,21.19224,0
136D,117,GJ05BX2347,10:31:34,17533698,2022-01-01T10:35:39+05:30,DN,A38,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,6689,2022-01-01T10:30:54+05:30,Point,72.754988,21.141716,18
13U,57,GJ05BX9504,09:15:44,17526499,2022-01-01T10:35:36+05:30,UP,A51,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2027,2022-01-01T08:54:56+05:30,Point,72.862261,21.215006,5
658D,773,GJ05BX2033,10:32:27,17526681,2022-01-01T10:35:37+05:30,DN,C009,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,6959,2022-01-01T10:21:07+05:30,Point,72.721077,21.190717,32
206D,257,GJ05BX2091,10:33:56,17531986,2022-01-01T10:35:31+05:30,DN,C025,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,6688,2022-01-01T10:26:37+05:30,Point,72.749588,21.137102,39
117U,420,GJ05BX2654,,17528241,2022-01-01T10:35:32+05:30,UP,C074,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4776,2022-01-01T09:32:02+05:30,Point,72.767524,21.206931,0
